id,price_id,date
2486,10087,2022-06-29
340,13878,2022-04-08
3066,13593,2021-10-04
2955,12873,2022-02-02
224,26438,2021-08-22
3478,17013,2022-05-09
2642,25282,2022-01-24
295,932,2022-06-30
2223,8654,2022-04-05
2128,16246,2022-01-22
901,16100,2022-05-24
1082,3502,2021-11-25
2361,9350,2022-06-03
1138,10904,2022-07-06
631,24651,2022-03-08
767,15094,2021-11-16
3210,14608,2021-08-17
87,8902,2021-08-28
3,24,2022-02-12
3357,17091,2021-09-03
3679,28115,2021-11-20
259,15740,2021-12-06
1732,6324,2021-08-30
2346,29840,2021-10-04
655,6084,2021-09-06
2751,11720,2022-01-21
2464,10020,2021-12-20
3057,16666,2022-06-20
2583,10540,2021-12-02
642,21673,2021-09-14
3579,18175,2022-04-25
1025,3304,2021-12-03
3292,28350,2022-03-09
3642,23217,2022-07-04
3655,20033,2021-12-18
2187,8491,2022-02-13
508,1644,2022-03-30
40,22465,2021-12-23
2201,17208,2022-05-21
3360,15878,2022-05-10
2109,8084,2021-09-24
3556,17985,2022-04-18
3750,20238,2022-05-08
1002,6459,2022-07-20
2071,8297,2022-02-17
3981,25086,2021-08-15
3693,19428,2021-09-26
3421,16404,2021-08-04
3069,27945,2022-07-03
1522,5252,2022-04-04
159,535,2022-05-01
3241,14836,2022-04-21
3633,18694,2022-02-05
125,28662,2021-10-17
3044,13399,2022-06-16
3076,20538,2021-10-15
3142,14175,2022-02-03
1294,4349,2021-10-11
1450,18277,2022-02-05
350,1137,2022-02-10
2044,7757,2022-02-15
3466,28436,2022-07-18
3797,26692,2022-01-19
3533,17771,2022-06-23
2702,11371,2021-11-19
1470,5011,2022-02-03
1064,25307,2022-07-03
328,23581,2021-11-29
2209,8585,2021-09-09
432,23641,2022-06-25
1548,5360,2021-08-30
429,13349,2022-06-02
3725,19814,2022-02-14
132,483,2021-10-07
1323,4409,2022-05-15
1159,10064,2021-12-11
2541,10295,2022-03-26
46,247,2022-05-28
905,19453,2022-03-04
997,26581,2021-12-24
3304,20306,2022-06-13
2893,12589,2021-11-12
1050,12780,2022-06-26
566,23936,2022-06-29
3685,22942,2022-05-02
3817,27404,2022-06-07
3320,15549,2022-05-14
1316,28348,2021-10-23
3599,18292,2022-03-03
2298,9027,2021-08-26
2964,17377,2022-01-07
371,13070,2022-04-21
2148,18054,2022-05-17
1727,6284,2022-06-09
3441,24021,2021-12-30
2266,17472,2021-12-02
1773,6491,2021-12-16
1906,7091,2021-08-29
2920,25737,2022-02-24
2334,9179,2022-01-06
336,1097,2022-05-08
3201,20076,2022-01-01
2674,11127,2021-10-08
3074,28326,2022-02-06
801,2610,2022-03-30
3722,26891,2022-01-31
2638,10845,2022-03-28
3027,18945,2022-06-25
17,100,2021-07-28
3776,24506,2022-04-19
158,529,2021-12-15
1407,4730,2022-06-11
2842,12236,2022-06-09
1620,5612,2022-02-15
1838,6794,2022-06-19
2389,28214,2022-01-19
841,2736,2021-08-02
3251,29740,2021-07-26
348,4175,2021-09-30
1936,7243,2022-02-06
475,1544,2022-05-24
1825,23275,2021-10-23
3367,15917,2022-06-13
3885,22262,2022-01-30
191,18975,2021-09-23
2325,9134,2022-02-05
420,14067,2022-03-29
558,1825,2022-06-01
2597,10657,2021-11-25
863,21289,2021-09-21
948,2992,2021-12-06
231,760,2022-04-25
1477,5029,2022-04-26
3472,16916,2021-08-17
1371,4608,2022-05-20
1325,4413,2022-04-16
3075,13699,2021-10-15
1801,21369,2022-08-08
1186,29039,2021-11-26
1972,13379,2022-04-11
2015,26291,2022-06-09
2323,16513,2021-10-21
2064,25155,2021-12-04
2562,10388,2022-03-28
1923,7188,2022-07-24
3007,24192,2021-11-28
71,3359,2021-12-03
3379,16029,2022-01-25
1516,27415,2022-07-14
2813,26161,2022-04-10
1362,19761,2022-05-21
1700,29522,2022-04-14
2326,19952,2022-02-05
2264,15113,2021-10-08
45,25602,2021-12-02
1713,6193,2021-11-03
789,2576,2021-12-01
3975,24854,2022-06-08
4050,27613,2021-09-20
3645,19992,2021-12-23
3537,20975,2022-03-01
724,24834,2022-05-08
2970,21598,2022-07-10
1985,7415,2022-06-09
3060,13535,2022-02-14
3433,16522,2022-05-20
3846,21555,2022-05-15
3832,29729,2021-10-08
2398,21636,2021-10-26
1436,4814,2022-05-25
3544,17917,2021-11-13
2070,7860,2022-02-17
2883,26802,2022-04-23
1841,6795,2021-10-11
15,1166,2022-05-10
3485,17095,2022-02-14
58,275,2022-01-21
827,4815,2022-06-18
609,8738,2021-11-20
3095,28830,2022-04-04
1856,17471,2022-03-03
2881,22025,2022-04-15
3714,23393,2022-05-12
2274,8871,2021-08-23
649,2075,2022-03-05
3789,20673,2022-01-02
3772,20536,2022-04-17
1078,17534,2022-04-10
1736,21298,2022-05-19
604,20519,2022-01-17
610,20838,2021-11-20
1787,18086,2022-01-04
2316,9090,2022-06-14
2947,12834,2021-12-06
2359,9340,2022-02-24
847,25510,2022-02-14
3486,18597,2022-02-14
2810,19673,2022-06-19
678,2192,2021-12-18
2053,7797,2022-06-13
3971,24719,2022-04-14
3181,14396,2022-08-24
2659,11035,2022-02-28
2226,8659,2021-07-23
408,1324,2022-05-03
3574,26614,2022-06-17
3294,23124,2021-10-01
3299,24137,2021-09-12
194,685,2022-02-02
3307,21909,2021-12-11
1373,4625,2021-08-31
1187,3869,2022-04-23
282,20465,2021-10-20
2228,9934,2021-12-20
3222,28291,2022-02-10
2779,11950,2021-10-05
1452,11859,2022-04-09
927,19189,2022-07-06
3928,27058,2021-10-20
2655,11025,2022-01-18
3254,27987,2021-10-06
846,2741,2022-02-14
215,717,2022-02-16
2077,7915,2021-08-29
3461,27707,2021-08-21
3662,18979,2022-06-20
265,12921,2022-03-08
692,2228,2021-08-08
3598,18291,2021-11-29
111,390,2022-02-19
1081,23195,2021-08-22
4060,28165,2022-06-12
3538,17816,2022-02-28
2238,12794,2022-01-25
1444,27790,2022-03-31
1190,3898,2021-10-01
2582,19657,2022-07-08
3631,18661,2021-12-03
3164,14255,2021-10-20
2862,28048,2022-01-25
3946,23721,2021-12-25
2310,9043,2021-11-25
2017,7601,2021-12-02
3517,17581,2022-01-18
2424,9760,2022-03-23
1438,9220,2022-05-25
886,25599,2021-09-18
217,726,2021-10-08
3331,20495,2021-09-09
1363,27536,2022-05-21
3246,14867,2021-10-04
2019,7618,2021-09-06
10,9321,2021-09-06
2413,13209,2022-01-21
1107,28009,2022-07-08
3835,28312,2022-06-07
1952,23666,2022-03-11
3528,25892,2022-06-11
1087,8132,2021-12-10
4001,25673,2021-11-10
875,2774,2022-04-26
1113,3590,2022-01-09
4082,28946,2022-07-14
809,2623,2021-08-19
1961,21992,2022-05-13
4043,27438,2021-11-22
1998,7494,2022-02-10
53,270,2022-05-07
1066,26736,2022-01-08
1420,9670,2021-12-10
2627,10807,2021-10-18
92,17867,2021-09-28
3120,14034,2021-12-18
3904,26174,2022-01-29
3696,26358,2021-08-01
2607,19894,2022-07-13
2167,20430,2022-07-22
192,633,2021-12-18
1844,6804,2022-04-08
3098,17437,2022-02-25
2378,23421,2022-06-22
1179,6826,2022-02-02
1541,5331,2021-11-15
3520,18867,2022-08-06
3442,16644,2021-12-07
1749,6389,2022-06-07
383,12987,2022-01-24
3734,21869,2021-11-29
2815,15226,2021-09-26
2299,19711,2021-08-26
1716,6201,2021-09-14
51,12046,2022-03-13
3040,13321,2021-11-12
1953,27523,2022-03-11
1374,15906,2021-08-31
1447,21896,2022-07-17
4053,27704,2021-11-27
270,844,2021-09-02
1592,5496,2022-01-06
3326,15555,2022-02-06
3352,25953,2021-12-31
3398,17696,2021-10-23
2876,14511,2021-12-02
2532,27381,2022-01-28
2772,29465,2022-01-28
1303,4365,2022-07-17
996,14971,2021-12-24
2210,8604,2022-06-18
536,28534,2022-06-19
409,1332,2022-02-05
3995,25530,2022-01-16
3958,24077,2022-06-23
3854,21720,2021-12-13
1879,27355,2022-08-04
3116,27716,2021-09-24
95,7004,2022-05-14
2032,7660,2022-03-16
810,9649,2021-08-19
2735,11595,2021-09-03
971,3114,2021-12-01
3516,27584,2021-10-12
4090,29456,2021-12-29
1486,18888,2022-05-14
909,10852,2021-08-11
2438,9879,2022-04-03
870,3978,2022-06-01
1737,6357,2021-11-30
3348,15742,2022-05-10
30,141,2021-12-26
3015,13166,2021-08-07
277,865,2021-12-30
382,2425,2022-01-24
2613,10742,2021-12-14
3728,19875,2021-10-02
257,823,2021-12-06
3122,25480,2021-12-18
2450,14657,2022-03-26
2558,26056,2022-02-13
442,27964,2021-12-07
2411,24908,2021-12-02
2855,12297,2022-03-09
2035,23272,2022-01-30
744,2421,2021-12-08
1180,18325,2022-02-02
2475,10054,2022-06-10
3505,17431,2021-08-12
276,29123,2022-06-19
1978,7376,2022-03-10
1807,6686,2022-06-16
3271,27423,2022-03-18
834,2726,2022-06-06
3268,15145,2022-03-15
3547,21345,2022-04-22
1432,4802,2021-09-27
2002,13190,2022-05-18
3901,27667,2021-08-20
229,25268,2022-03-19
3821,21078,2022-07-26
3276,15213,2021-09-13
2578,10504,2021-09-22
984,26866,2021-12-19
3738,19985,2021-11-11
2370,15315,2021-08-19
443,1431,2021-09-11
1344,6867,2021-10-18
1020,6308,2022-04-30
1812,6713,2022-07-06
344,13887,2022-01-11
1824,20634,2021-10-23
1990,7448,2022-08-01
1873,6933,2022-06-24
2372,14485,2022-02-07
3801,25952,2021-09-22
296,13951,2022-06-30
21,5131,2022-06-16
2025,7636,2022-05-16
3458,16762,2021-10-24
748,2635,2022-06-01
7,10880,2021-08-30
979,3123,2022-04-14
2639,10850,2022-01-08
1061,7964,2021-11-07
1559,5378,2021-10-25
56,271,2021-10-08
1143,3723,2022-05-26
1334,27656,2022-04-28
487,10964,2022-05-30
1595,5503,2022-01-13
12,2023,2022-06-02
915,7366,2022-02-24
3166,14276,2021-11-10
1434,11895,2022-06-14
3952,28724,2022-04-13
3161,18161,2022-08-02
2553,17366,2022-07-02
3833,21254,2022-06-07
3634,20013,2022-02-05
2260,8830,2021-11-12
1546,18410,2022-04-23
530,1732,2022-01-01
3434,17842,2022-05-20
3056,13501,2022-06-20
3798,20711,2021-12-09
715,2322,2021-11-23
2769,11827,2021-09-12
960,3049,2021-09-11
2535,21413,2022-06-26
3545,17923,2021-12-15
2377,13059,2022-06-22
1943,7365,2021-10-16
2517,18797,2022-04-21
740,2403,2022-03-03
1119,7333,2022-04-29
2439,9882,2022-05-26
816,2648,2021-11-20
1306,4369,2022-07-28
288,20939,2022-04-27
63,21881,2021-11-26
3317,15528,2022-07-18
236,773,2021-09-15
292,1807,2022-04-02
2518,10205,2022-05-27
1889,18957,2022-05-11
1642,29446,2021-12-11
2273,29724,2021-07-30
2703,29209,2021-11-19
2257,8787,2022-07-05
1487,24704,2022-05-14
1712,12965,2022-03-28
1887,25442,2021-12-31
1819,17761,2021-11-06
1366,4587,2021-10-24
1579,24685,2022-01-29
1703,6112,2021-11-07
1968,7347,2022-02-13
739,28759,2021-11-09
3992,25494,2022-02-25
668,2166,2021-12-14
3203,15324,2022-03-18
3310,26631,2021-09-22
1613,15846,2022-02-06
2033,10473,2022-03-16
921,2919,2022-04-12
94,346,2022-05-14
1030,3321,2022-01-19
3131,14095,2022-02-03
1514,5215,2022-07-14
593,16770,2021-12-04
267,843,2022-01-02
4058,27858,2021-11-28
3158,14213,2022-01-08
1358,4553,2022-04-10
1468,14488,2022-05-31
2633,15745,2022-02-01
710,2268,2022-02-09
972,13738,2021-12-01
1565,27702,2022-07-03
1888,6981,2022-05-11
3923,23209,2022-03-23
591,5470,2021-11-13
394,2283,2022-04-15
3197,23001,2022-08-02
3220,14652,2022-02-10
312,973,2021-07-27
3628,18659,2022-02-15
355,7788,2022-01-16
4021,26370,2022-05-07
2056,7804,2021-10-09
1054,3396,2021-11-02
2074,15512,2021-11-27
3400,21994,2021-12-01
3175,14604,2021-09-03
835,2728,2022-04-25
3903,22531,2022-01-29
3416,16376,2021-12-16
2059,7805,2021-09-20
1858,6880,2021-08-21
2337,9191,2022-05-13
1329,7670,2022-06-06
2381,22596,2021-10-19
2006,25665,2022-01-11
3536,17804,2022-03-01
1762,6468,2022-06-08
2907,27550,2022-07-03
360,23766,2022-06-27
1047,3378,2021-08-06
3622,18525,2022-01-15
2680,11157,2022-04-19
2829,17532,2022-07-14
3587,18229,2021-10-28
1441,10408,2021-11-18
388,1349,2021-10-11
65,9945,2022-05-26
583,18699,2022-04-12
1626,5630,2022-06-08
2048,22280,2021-09-24
85,340,2021-08-28
1168,15314,2022-05-16
4074,28620,2022-01-23
792,29617,2022-06-07
3736,19981,2022-04-13
1165,21281,2022-05-20
3409,16276,2022-01-15
2473,20181,2022-06-28
2985,17354,2022-01-27
1007,29332,2022-05-14
1848,6839,2022-01-21
3212,14961,2022-05-17
2151,8287,2022-03-13
1297,4359,2021-10-13
966,12263,2021-09-05
2143,8239,2022-05-16
354,1143,2022-01-16
549,7184,2021-08-14
3623,25609,2022-01-15
3713,20616,2022-05-12
1593,19708,2022-01-06
790,2597,2022-06-07
2988,12986,2021-11-24
3231,22125,2021-11-19
1969,12392,2022-02-13
823,2661,2022-01-03
2101,26306,2021-12-06
3897,22505,2021-11-21
313,988,2021-11-27
2347,9276,2021-11-03
59,25562,2022-01-21
1312,4386,2021-11-30
2272,9294,2021-07-30
941,12009,2022-03-16
1846,6811,2021-12-20
1314,25836,2021-11-30
3047,29279,2022-01-26
2331,17199,2022-05-13
1128,8368,2022-06-09
1775,20229,2021-12-16
1322,26065,2022-07-14
2137,16320,2021-08-30
1428,10056,2022-05-30
2284,8931,2022-02-12
2426,27709,2022-03-23
1562,5381,2021-09-13
3931,24126,2022-05-18
1360,28612,2022-04-10
3414,20379,2021-09-02
4042,27401,2022-05-22
3236,27904,2021-10-01
555,1823,2021-11-17
3905,22608,2022-06-28
3114,13986,2021-11-04
1602,13289,2021-12-14
174,594,2022-05-08
309,972,2021-09-15
1440,9783,2021-11-18
1529,5279,2021-08-24
2152,8294,2022-04-17
337,1284,2022-05-08
1109,16840,2022-04-28
91,343,2021-09-28
1750,7240,2022-06-07
1398,24689,2022-01-06
782,2559,2022-04-13
2142,25147,2021-09-15
3813,21009,2021-11-25
1653,27037,2022-08-06
2837,12216,2022-03-26
2435,23409,2022-02-24
334,11867,2022-07-08
1342,20980,2021-09-04
3196,14508,2022-08-02
1932,29766,2022-04-06
3609,21753,2021-07-21
2497,29174,2022-06-08
3462,16818,2022-01-11
3373,15929,2022-05-23
1670,28046,2021-11-09
998,3217,2022-05-08
2169,8385,2022-04-01
1687,7946,2022-07-06
1733,24789,2021-08-30
926,2930,2022-07-06
1405,5770,2021-08-10
2420,9730,2022-04-27
2280,9876,2022-01-11
3749,20157,2021-11-24
1991,16895,2022-08-01
1738,8291,2021-11-30
1015,22815,2021-08-31
1822,12334,2022-03-16
3224,14720,2022-04-11
3887,22327,2021-11-15
2773,11861,2022-05-25
3243,14862,2022-05-12
1830,27385,2021-11-24
1882,19882,2021-09-13
513,1663,2021-09-11
3335,29810,2022-04-04
1544,5342,2022-04-23
2513,10191,2021-11-26
522,1688,2022-02-13
516,1672,2021-09-07
4014,26040,2021-09-08
3199,14518,2022-03-01
3256,15030,2022-05-21
943,2983,2022-01-04
2940,12811,2021-10-30
1843,26883,2021-10-11
2812,23424,2022-04-10
4094,29838,2022-02-05
1502,9779,2022-06-16
696,10032,2021-08-29
2340,24290,2022-01-17
86,1092,2021-08-28
857,9408,2021-09-07
3646,18818,2022-01-13
3751,20250,2022-02-14
2107,8077,2021-12-19
3860,23961,2021-09-09
310,4615,2021-09-15
3402,16190,2022-03-04
1553,15769,2021-08-17
1075,6458,2021-09-01
2979,18588,2022-01-31
1001,3227,2022-07-20
3129,20512,2022-03-19
588,1952,2021-08-28
367,7233,2022-05-22
178,19328,2022-06-22
1816,14713,2021-12-24
3333,15612,2022-04-04
1983,7385,2022-01-19
1269,26024,2022-06-21
1029,8668,2022-01-26
590,1961,2021-11-13
856,3368,2021-09-07
208,26468,2022-06-11
3094,24176,2022-04-04
1781,25933,2022-06-18
3748,25627,2022-01-22
804,2611,2021-11-20
3476,17011,2022-08-10
1897,29086,2022-06-25
1588,24758,2021-12-25
1287,6368,2022-05-31
1108,3577,2022-04-28
1938,11197,2022-02-06
2757,11789,2022-05-11
1811,10405,2022-02-21
3554,28532,2022-07-16
4093,29627,2022-05-11
1521,14096,2021-11-28
2270,14220,2022-06-29
3582,18184,2022-07-01
1696,6083,2022-03-12
2654,20097,2022-05-26
2098,26972,2022-04-12
959,3042,2022-05-21
2916,12742,2022-05-26
2522,10255,2021-12-09
2736,26973,2021-09-03
2927,29032,2022-06-23
1796,20787,2022-03-23
1421,18233,2021-12-10
3412,28238,2022-01-15
1211,7858,2021-11-16
1041,3354,2021-09-08
1986,8880,2022-06-09
1688,16961,2022-07-06
3658,28463,2022-02-15
1965,7345,2021-12-08
622,2004,2021-12-10
64,281,2022-05-26
539,1752,2022-05-21
1215,22223,2021-12-18
3495,17255,2021-11-19
2140,26685,2022-03-12
2897,22938,2022-02-06
2371,9380,2022-02-07
2395,9623,2021-12-24
1311,26952,2022-02-10
3112,24844,2022-05-04
2709,27308,2021-07-25
2542,21285,2022-03-26
2895,12600,2022-02-06
2662,23203,2022-07-12
1225,6469,2021-11-09
2889,25223,2022-06-03
2012,13431,2021-12-30
1715,14942,2021-10-18
2673,22683,2021-09-05
3176,14341,2022-06-16
2993,19893,2021-07-27
1415,4762,2021-12-08
4030,26509,2022-06-07
2510,12876,2021-09-04
261,5547,2021-12-10
3140,15152,2022-02-18
241,5348,2021-11-16
1121,3644,2022-05-20
3113,13982,2022-01-29
433,1387,2022-06-15
1043,11165,2021-10-01
2261,24951,2021-11-12
2442,9911,2021-12-10
2212,20027,2022-06-18
1177,19597,2022-01-01
1170,3775,2022-04-24
2234,8699,2022-01-23
185,6971,2021-08-28
3766,20479,2022-07-02
321,12058,2022-05-10
3611,18480,2021-12-11
3580,22627,2022-04-25
452,14699,2022-04-16
2423,9744,2022-04-22
2105,17866,2021-09-25
2374,19533,2022-02-18
3910,22848,2021-12-08
1442,4861,2022-03-31
2396,15189,2021-12-24
62,1075,2021-11-26
455,1467,2022-03-17
3896,25612,2022-01-04
2265,8852,2021-12-02
2141,8227,2021-09-15
3325,15554,2022-06-03
2589,10758,2021-10-11
3709,19572,2022-05-09
2001,7499,2022-05-18
1949,7292,2021-10-01
1962,7343,2021-10-15
1783,8337,2022-05-24
1567,12952,2022-06-21
11,62,2022-06-02
2095,7988,2022-02-18
1948,11525,2021-10-10
2682,21830,2022-04-19
436,25745,2022-01-16
1431,7997,2021-09-20
3146,21512,2022-01-26
3184,14433,2021-10-14
3806,20832,2021-12-26
3525,26019,2021-12-28
3705,19544,2021-08-21
2657,11031,2022-06-23
2809,17378,2022-06-19
896,2847,2021-08-21
3103,13930,2021-11-14
290,2085,2021-09-03
1057,3422,2022-06-22
3059,29129,2022-04-26
918,26489,2021-08-25
1272,4270,2022-07-07
2536,10287,2022-03-04
2468,10044,2022-02-01
3053,13474,2021-09-26
2643,10935,2021-08-30
316,997,2021-12-21
151,519,2021-09-13
3933,23383,2022-03-07
1031,11229,2022-01-19
3135,14128,2021-12-12
1894,27382,2021-12-12
116,27717,2022-02-03
2775,11898,2021-11-16
2651,10984,2022-02-12
1778,19452,2022-04-13
254,812,2021-08-07
2537,29224,2022-03-04
3443,16648,2022-05-14
1080,9239,2021-08-22
1789,12878,2022-03-30
3227,14730,2021-09-24
1851,6848,2022-04-02
37,18536,2022-01-14
581,1918,2022-01-07
279,870,2022-07-09
2896,15156,2022-02-06
200,11235,2022-04-07
4087,29205,2022-02-09
3612,23033,2021-12-11
1049,3383,2022-06-26
1973,14459,2022-04-11
2171,24600,2022-04-01
1907,11817,2021-08-29
2061,25710,2021-09-20
1950,12880,2021-10-01
1021,24775,2022-04-30
3382,25166,2022-05-01
300,12212,2022-06-15
2110,25470,2021-09-24
3950,29926,2022-01-27
133,1902,2021-10-07
761,8524,2022-01-11
562,1857,2022-05-01
2692,11255,2021-12-06
2701,22083,2021-12-17
3978,24973,2021-10-29
99,359,2021-10-14
2288,26780,2021-11-16
3503,17672,2022-04-10
950,18351,2021-10-01
2302,14434,2022-03-21
2853,12290,2021-12-18
606,22027,2021-12-06
1855,6865,2022-03-03
1852,6852,2022-05-17
3641,18765,2022-07-04
1625,24962,2021-11-05
3605,25904,2021-12-26
48,9552,2022-05-28
491,24975,2022-01-07
2543,28522,2022-03-26
794,18343,2021-08-14
3314,15843,2022-05-08
550,12220,2021-08-14
3546,17934,2022-04-22
864,2764,2021-10-11
2011,7570,2021-12-30
1285,21557,2021-12-23
2912,23166,2021-07-27
3667,19010,2022-01-07
3226,28464,2022-05-16
3868,22002,2022-01-23
4054,27771,2022-02-09
1743,6371,2022-01-05
220,729,2022-04-19
3802,20809,2022-05-22
799,5474,2022-07-08
3371,15922,2022-05-12
2956,17864,2022-02-02
1606,5566,2021-07-18
2146,8258,2022-05-17
3237,14822,2022-03-11
1202,3932,2022-01-30
2428,20600,2021-10-02
3669,27944,2022-01-07
705,20048,2022-06-20
2203,8565,2022-07-08
569,17956,2021-12-20
1519,15647,2022-06-13
1774,13151,2021-12-16
3469,24233,2021-09-12
3173,26294,2022-02-02
1237,4091,2021-12-12
3454,16725,2022-06-26
3967,24577,2022-07-13
4011,25980,2021-09-04
2778,11908,2022-05-19
3883,22174,2022-01-26
4051,27631,2021-12-19
3504,25020,2022-04-10
2205,8566,2022-01-17
3900,22528,2021-08-20
2198,10452,2022-08-11
1524,8686,2022-04-11
1681,6013,2021-12-02
3508,20603,2022-02-13
3577,18153,2021-07-05
953,3013,2022-02-18
3922,23116,2022-02-04
3291,17001,2022-03-09
2436,9846,2021-09-19
1679,13944,2021-12-09
1147,25071,2022-04-18
779,2549,2021-11-29
2891,14630,2022-01-19
597,1969,2021-12-09
1964,22307,2021-10-15
2453,9967,2021-09-22
859,10450,2022-08-08
172,574,2022-03-30
2686,24917,2022-05-23
2986,12976,2021-09-17
2339,9235,2022-01-17
865,11630,2021-10-11
3270,22047,2022-03-18
216,27905,2022-02-16
1307,4514,2022-07-28
4069,28272,2021-08-11
2818,23454,2022-05-17
1471,19504,2022-02-03
41,213,2021-11-28
3424,16420,2021-12-15
2232,27684,2021-08-29
2571,11821,2021-12-21
2790,12049,2022-01-07
221,736,2022-07-08
2355,9373,2021-11-27
1044,25360,2021-10-01
1877,6947,2022-03-25
775,23342,2022-05-15
2108,10060,2021-12-19
3108,16032,2021-11-22
3447,22325,2022-05-16
3727,19874,2021-08-22
898,17892,2021-08-21
3183,24793,2022-08-24
661,5854,2021-10-24
32,159,2021-11-27
