id,vehicle_type,city
1279,car,Rome
5339,car,Rome
7815,car,Milan
6447,car,Rome
8531,motorcycle,London
8241,car,Madrid
7666,car,Rome
545,car,Milan
2831,car,Milan
4652,car,Milan
7615,car,Rome
144,car,Milan
8500,car,Milan
298,car,Milan
2733,car,Rome
581,car,Rome
3963,car,London
5364,car,Rome
4813,van,Rome
4118,car,Rome
677,car,Rome
6638,car,Rome
4874,car,Rome
4780,car,Rome
721,car,Rome
3354,car,Rome
2030,car,Madrid
4773,car,Milan
8515,car,Rome
149,car,Milan
5271,car,Rome
4704,car,Milan
917,car,Milan
8153,car,Rome
609,car,Milan
5568,car,Rome
5597,car,Rome
2575,car,Milan
8357,car,Milan
6762,car,Madrid
1764,car,London
4079,car,Madrid
4690,car,Milan
4589,car,Milan
419,car,Milan
653,motorcycle,Rome
1322,van,Milan
1013,car,Milan
8039,car,Rome
1047,car,Milan
5646,car,London
3895,car,London
17,car,Milan
2955,car,Rome
4073,car,Rome
4271,car,Rome
3854,car,Milan
4979,car,Rome
3884,car,London
7811,car,Madrid
963,motorcycle,Milan
3229,car,Rome
4632,car,Milan
4475,car,Rome
5017,motorcycle,Milan
7208,van,Milan
2321,motorcycle,Milan
8458,motorcycle,Milan
8228,car,Milan
1386,motorcycle,Milan
3863,car,Milan
3313,car,Milan
5848,car,Milan
1531,car,Madrid
6405,car,Rome
501,car,Milan
3155,car,Milan
3829,car,Madrid
6589,car,Milan
1123,car,Milan
4929,car,Rome
4751,car,Rome
6975,car,Milan
6551,car,Rome
3282,car,Rome
2310,car,London
1390,car,London
4978,motorcycle,Milan
6403,car,Milan
2090,car,Milan
8267,car,Madrid
1025,motorcycle,Madrid
332,car,Rome
5583,car,Rome
6788,car,London
152,car,London
7236,car,Milan
8421,car,Milan
2393,car,Milan
2754,car,Milan
950,car,Rome
1298,car,Madrid
4239,car,Rome
1023,car,Madrid
3907,car,Rome
441,motorcycle,Milan
4611,car,Milan
712,car,Milan
1703,car,London
191,car,Rome
5147,car,London
8632,motorcycle,London
3078,motorcycle,Milan
6002,motorcycle,Milan
7574,car,Milan
2164,car,London
500,car,Milan
2935,car,Rome
8584,motorcycle,Milan
7403,car,Rome
8069,car,Rome
6783,car,Milan
84,car,Milan
2770,car,Milan
7234,car,Milan
4915,car,Rome
7137,car,London
7868,car,Rome
8180,car,London
3828,car,Rome
4420,car,Rome
3910,car,Rome
1507,car,London
3499,car,Rome
8439,car,Madrid
3455,car,Milan
7699,car,London
4321,car,Milan
4944,motorcycle,Madrid
2600,van,Milan
4658,van,Milan
1759,car,Rome
3284,car,Madrid
841,car,London
5795,car,Rome
2001,motorcycle,Milan
2628,car,Milan
4624,motorcycle,Rome
4345,motorcycle,Milan
3038,car,Rome
4315,car,Rome
4794,car,Rome
848,car,Milan
6864,car,Madrid
7491,car,Rome
6077,car,London
1854,car,Madrid
7017,car,Rome
1535,car,London
4310,car,Milan
1307,car,Milan
6140,car,London
4890,motorcycle,Milan
8062,van,Rome
49,car,Rome
270,car,Milan
1837,car,Milan
5082,car,Milan
1389,car,Rome
7062,car,Milan
2998,car,London
5067,car,Rome
2565,car,Milan
3122,motorcycle,Rome
2991,car,Milan
6039,motorcycle,London
2213,car,Milan
7650,car,Madrid
7136,car,Milan
6515,motorcycle,Milan
806,car,Milan
2602,car,Milan
6623,car,Milan
2108,car,London
547,car,London
3161,car,Rome
8377,car,Rome
1624,car,London
979,car,Rome
8098,car,Milan
7166,car,Milan
1529,motorcycle,London
1664,car,Milan
3666,car,Milan
2160,car,Rome
14,car,Milan
8639,motorcycle,Milan
6797,car,Rome
6999,car,Rome
2409,car,Milan
985,car,Milan
7144,car,London
5593,car,Rome
7876,car,Rome
4917,car,London
3856,car,Milan
5184,car,Rome
1168,car,London
1964,car,Rome
8133,car,Milan
3356,car,Milan
5980,car,Milan
334,car,Rome
926,car,London
8204,motorcycle,Milan
1271,car,Rome
6008,car,Rome
2280,car,Milan
6356,car,Rome
1773,car,Rome
5403,car,London
1653,motorcycle,Rome
6081,van,Rome
7956,van,Milan
7607,car,Madrid
1658,car,Milan
3214,car,Rome
6306,car,Milan
6262,car,London
5411,car,Rome
1472,car,Milan
1398,motorcycle,Rome
1966,car,Milan
5594,car,London
7249,car,Rome
5699,motorcycle,Milan
3880,car,Milan
6344,car,Milan
5086,car,Milan
3948,car,Madrid
7458,motorcycle,Milan
1173,car,London
3231,car,London
4366,motorcycle,Milan
7830,car,Rome
8390,car,London
2837,car,Milan
4113,car,London
8337,car,Milan
8050,car,Madrid
6781,car,Rome
969,car,Milan
5691,car,Milan
4948,motorcycle,Milan
1117,car,Milan
2460,car,Milan
1571,motorcycle,Madrid
7602,car,Rome
7838,car,Milan
6635,car,Milan
5890,car,Madrid
3094,motorcycle,Milan
7203,motorcycle,Madrid
6852,car,Rome
4320,car,Madrid
1238,motorcycle,Milan
2187,car,Milan
431,car,Milan
5884,car,Milan
8291,car,Rome
5807,car,London
6927,car,London
6906,car,Madrid
7657,car,Milan
907,car,Rome
3103,car,Milan
993,car,Milan
7183,car,Madrid
5894,car,Milan
7117,car,Rome
7305,motorcycle,Milan
459,car,Milan
901,van,Milan
1101,motorcycle,Madrid
7490,car,Milan
235,car,Milan
6083,motorcycle,Rome
8568,car,Madrid
6801,car,Rome
2258,car,Rome
2707,car,Madrid
6103,car,Rome
4936,car,London
4723,car,Milan
7621,car,Rome
3335,car,Milan
1565,van,Rome
2591,car,Milan
4031,car,London
5289,car,Madrid
3541,car,London
3858,car,Milan
127,car,Rome
2078,car,Milan
799,car,Milan
1767,car,London
5774,motorcycle,Madrid
1584,car,Milan
7,car,Madrid
1361,motorcycle,Milan
8511,car,Rome
4498,car,Milan
2076,car,Madrid
7703,car,Milan
8581,motorcycle,Milan
3491,car,Rome
629,car,Milan
4396,car,Milan
3503,car,Madrid
6118,car,Milan
8179,motorcycle,Milan
6758,car,Rome
4236,car,Milan
1863,car,London
2726,car,London
2477,car,Milan
820,car,Madrid
900,car,Rome
3425,car,Milan
401,car,Rome
3200,car,Rome
5996,car,Rome
1665,car,Rome
216,car,Rome
3294,car,Rome
4686,car,Milan
222,motorcycle,Milan
1766,car,Rome
1065,car,Rome
6442,motorcycle,Milan
758,car,Rome
4436,car,Rome
4078,car,Madrid
5488,car,Madrid
3467,motorcycle,London
6316,car,Madrid
245,van,Rome
4985,motorcycle,Milan
1469,car,London
2977,van,Milan
212,car,Milan
2820,car,Milan
2406,car,Rome
5512,car,Rome
1984,car,Milan
7850,car,Rome
4640,car,Milan
5942,car,Milan
7894,motorcycle,Madrid
5871,motorcycle,Rome
2519,motorcycle,Milan
252,car,Madrid
7304,car,Rome
1138,car,Milan
1035,car,London
3738,car,Rome
924,car,London
8124,car,Madrid
4021,car,Madrid
8183,car,London
3268,car,Rome
284,car,Madrid
1294,car,London
8138,car,Milan
4333,car,Milan
921,motorcycle,Milan
7265,motorcycle,Rome
8441,car,Rome
4334,car,Madrid
6602,motorcycle,Milan
8611,car,Rome
8278,car,Madrid
3421,car,Madrid
7637,car,Rome
1932,car,Milan
3520,car,London
6998,car,Madrid
6248,car,London
5829,car,Milan
2207,car,Milan
1776,car,London
8442,car,Milan
23,car,Rome
943,car,Rome
8355,car,Rome
4857,car,Milan
6714,car,Rome
6446,car,Milan
6110,car,Milan
5897,car,Milan
8244,motorcycle,Rome
6459,car,Milan
5139,car,Milan
559,car,Madrid
3013,car,London
1204,motorcycle,Milan
2698,car,Rome
4146,car,Madrid
6604,car,Milan
6005,car,Milan
4449,car,Milan
124,car,Rome
1506,car,Rome
5366,car,Milan
932,car,Milan
2899,car,Rome
3723,car,Rome
2701,car,Rome
7948,car,London
8012,motorcycle,Rome
3301,car,London
7865,motorcycle,Milan
123,motorcycle,Milan
599,car,Rome
5079,motorcycle,London
131,car,Rome
7281,car,Rome
4650,car,Milan
5027,car,Milan
2266,car,Milan
7613,car,Madrid
5263,car,Milan
2210,car,Rome
7366,motorcycle,Madrid
8105,car,Rome
863,car,Milan
2922,car,London
2572,motorcycle,Madrid
6365,car,Milan
1586,car,Milan
4147,car,Milan
2875,car,London
4248,car,Rome
687,car,Milan
5733,car,Milan
833,car,Madrid
1796,car,Rome
471,car,Milan
3181,car,Madrid
4415,car,Milan
4208,motorcycle,Milan
4115,car,Madrid
5032,van,Milan
734,car,Milan
4662,car,Milan
3529,motorcycle,Rome
6251,car,Milan
225,car,Milan
5770,car,Milan
6760,car,Milan
1542,car,Rome
1385,car,Milan
856,motorcycle,Milan
2585,van,Rome
2211,car,Rome
1945,car,London
1348,car,Rome
5358,car,Rome
5433,car,Milan
5761,car,Rome
4114,car,Milan
8667,car,Rome
6987,motorcycle,Milan
1926,car,London
5830,car,Rome
7362,car,Milan
2309,car,Rome
4608,car,Rome
3116,car,Rome
5442,car,Madrid
8387,car,London
8126,van,Rome
6509,motorcycle,Madrid
87,car,Milan
379,car,Rome
5924,car,Madrid
5544,car,Rome
5508,car,Milan
2762,motorcycle,Madrid
221,van,Milan
971,motorcycle,London
7253,motorcycle,Milan
6587,car,Madrid
6213,motorcycle,Milan
6684,car,Milan
3242,motorcycle,London
1215,car,Rome
8146,car,Rome
6673,car,Milan
8106,motorcycle,London
7348,car,Rome
7063,car,London
1859,car,Rome
4062,car,Rome
3095,car,Rome
341,car,Milan
6270,car,Milan
4941,car,Rome
22,car,London
869,car,Milan
4824,car,London
1878,car,Rome
743,car,Milan
1606,car,Milan
429,car,Rome
2453,car,Madrid
1009,car,Rome
3174,car,Rome
133,car,Milan
3096,car,Rome
5925,motorcycle,Rome
5685,motorcycle,Milan
1818,car,Madrid
4387,car,Madrid
4135,car,Rome
5836,car,Milan
794,car,London
5686,car,Milan
1838,motorcycle,Milan
890,car,London
1710,car,Milan
2301,car,Milan
5094,car,London
857,car,Milan
2134,car,Milan
6271,van,Milan
2372,car,Rome
7762,car,Milan
5241,car,Milan
2032,car,Milan
3427,car,London
4278,motorcycle,Milan
6794,car,Rome
3618,van,Rome
1960,motorcycle,Milan
3100,car,Milan
6352,car,Madrid
1946,car,London
4518,car,Rome
1,car,Rome
5193,car,Madrid
168,car,London
3320,car,London
1487,car,Milan
4221,van,Madrid
6675,car,Madrid
1554,motorcycle,Milan
1058,car,Rome
1732,car,Rome
844,car,Milan
4483,car,Rome
3312,car,Milan
661,car,Rome
2636,car,Milan
258,car,Milan
8481,car,Milan
5398,car,London
300,car,Milan
4702,car,Madrid
3269,car,Milan
6854,car,Milan
352,motorcycle,Milan
4218,car,Madrid
7213,car,Milan
170,car,Milan
477,motorcycle,London
6710,car,Milan
4842,motorcycle,Milan
3058,motorcycle,Milan
7391,car,Rome
1223,car,Milan
2720,car,Milan
7297,car,Rome
8588,car,Madrid
6000,car,Madrid
3944,car,Milan
3904,car,Milan
7785,van,Madrid
7411,car,Rome
8055,car,London
5727,car,Rome
454,motorcycle,Milan
7120,car,London
4850,car,London
8083,car,Madrid
3302,car,London
3827,car,Milan
2359,car,Madrid
5535,car,Rome
4130,car,Rome
1643,car,Milan
6121,car,London
3917,car,Milan
7100,motorcycle,Rome
2593,car,Milan
4282,motorcycle,Milan
685,car,Rome
6150,van,Milan
6385,car,London
1488,car,Rome
6629,car,Rome
6464,car,Madrid
8028,car,Milan
7893,car,Milan
918,car,Rome
3613,motorcycle,Madrid
69,car,Rome
333,car,Rome
2225,car,Rome
394,van,Rome
228,car,Milan
2893,car,Rome
1205,car,Rome
4121,car,Rome
373,motorcycle,Madrid
1844,car,Milan
7507,car,Rome
5356,car,Madrid
664,motorcycle,Milan
702,motorcycle,Milan
3487,motorcycle,Milan
8411,car,Milan
2498,motorcycle,Milan
2169,car,Rome
4940,car,Milan
2014,car,Rome
2440,car,Rome
2330,car,Milan
1305,car,Milan
3604,car,Milan
613,motorcycle,London
598,car,Rome
6181,car,Rome
6678,van,Rome
5187,car,London
95,motorcycle,Madrid
8136,car,Rome
1862,car,Madrid
1930,car,Milan
657,car,Madrid
7433,car,Rome
1880,car,Milan
3494,car,Rome
8342,car,Rome
4102,motorcycle,Milan
6733,car,Milan
7002,car,London
3311,car,Milan
6686,car,London
3637,car,Rome
5030,car,Rome
1280,car,Rome
8453,car,Milan
1923,car,Rome
36,car,London
476,car,Milan
5328,car,Milan
6921,car,Milan
1055,car,Milan
1912,car,London
1949,motorcycle,Milan
1083,car,Rome
7591,motorcycle,Milan
2946,car,Milan
4323,car,Rome
5545,car,Rome
6800,car,Rome
3670,car,Rome
6232,car,Rome
8524,car,Rome
671,car,Rome
6757,car,Rome
4977,car,Madrid
5973,car,Rome
4565,car,Milan
5357,car,Rome
2938,car,Rome
1540,car,Milan
5666,car,London
6241,car,London
387,motorcycle,London
4134,motorcycle,Milan
1694,car,London
8224,car,Madrid
4467,car,Rome
868,motorcycle,Milan
6153,car,Milan
5619,car,London
497,car,Milan
5485,car,Milan
5613,car,Milan
1378,car,Milan
4172,motorcycle,Milan
8474,car,Milan
6654,van,Milan
4989,car,Milan
3032,car,Milan
2151,car,Milan
3930,car,Madrid
4895,car,Rome
7190,car,Milan
7627,car,London
3953,van,Rome
5281,motorcycle,Milan
5881,car,Madrid
1219,van,Madrid
3997,car,Madrid
8097,car,Rome
5622,car,Rome
7467,motorcycle,Milan
2752,car,London
6814,car,Milan
291,car,Rome
4232,car,London
4604,car,Milan
5216,car,Rome
2086,car,Milan
4877,car,Milan
4403,motorcycle,Rome
7108,car,Milan
5605,car,Milan
7127,motorcycle,Rome
4120,car,Rome
5640,car,London
5513,car,Rome
7916,car,Rome
665,car,Milan
5965,car,Rome
400,car,London
3993,car,Milan
5914,car,Milan
7347,car,Milan
3760,motorcycle,Milan
8193,car,Milan
3597,car,Rome
4173,car,Milan
7115,car,Milan
3873,car,London
443,car,Rome
5671,van,Rome
3834,car,Milan
4656,motorcycle,Rome
5866,car,Milan
909,car,Rome
4401,motorcycle,Milan
5118,car,Milan
1720,car,Rome
862,car,Milan
3018,car,London
3596,motorcycle,Rome
7054,car,Rome
2910,car,Milan
6642,car,Rome
2650,car,Milan
8602,car,Madrid
1548,van,Madrid
1598,car,London
279,car,London
1566,car,Madrid
4276,car,Rome
1186,car,Milan
3976,car,Milan
1612,car,Milan
2695,motorcycle,London
1743,car,Milan
6135,car,Rome
2396,car,London
723,car,Rome
5454,car,Rome
4673,car,Rome
5534,motorcycle,Milan
8033,car,Rome
4402,car,Milan
7652,motorcycle,Rome
4380,motorcycle,Milan
6434,car,Madrid
2162,car,Rome
5651,car,Milan
3822,car,London
7260,car,Rome
6188,car,Rome
5424,car,Rome
3735,car,Milan
2950,car,Milan
885,car,Milan
2276,motorcycle,Rome
4039,car,Rome
7927,motorcycle,Rome
3968,car,Milan
8430,car,Rome
8652,car,Rome
8182,car,Milan
8293,motorcycle,Milan
4558,car,Madrid
5723,car,Rome
5571,car,London
1682,car,London
7966,car,Milan
3291,car,Madrid
7163,car,Milan
2573,car,Rome
7071,car,Milan
7833,motorcycle,Milan
3501,motorcycle,Milan
1827,car,Madrid
8589,car,London
8235,car,Rome
7717,car,London
4408,car,Rome
6169,car,London
7653,motorcycle,Madrid
1293,car,Milan
6170,car,Milan
4767,motorcycle,Milan
2398,car,Milan
8405,car,Milan
6033,motorcycle,Rome
2294,motorcycle,London
640,car,Rome
8591,car,Rome
7040,car,Milan
2800,car,Rome
1580,motorcycle,Milan
2065,van,Rome
7464,car,Madrid
6244,car,Milan
7243,car,Madrid
4312,car,Madrid
1140,van,Madrid
6177,car,London
6520,van,Milan
5687,car,Rome
5132,motorcycle,Milan
3832,car,Milan
6540,car,Rome
1660,car,Rome
3526,car,Milan
2150,car,Milan
6912,car,London
4298,car,Rome
7970,car,Rome
6050,motorcycle,Madrid
7258,van,Rome
4058,car,Milan
7034,car,Rome
740,car,London
402,motorcycle,Milan
5455,car,Milan
6622,car,Rome
6734,car,Milan
3408,car,London
3318,car,Rome
4785,car,Milan
2007,motorcycle,London
8318,car,Milan
3766,car,Milan
7980,car,Milan
4002,car,Milan
981,car,London
8477,motorcycle,London
2581,car,Milan
6952,car,Madrid
7274,car,Rome
7733,car,Milan
3447,motorcycle,Rome
7810,car,Madrid
5448,car,Rome
6972,motorcycle,Milan
7058,motorcycle,Rome
8603,car,London
3222,motorcycle,Milan
1053,car,Milan
3847,car,Milan
4399,car,Milan
7914,car,Milan
4105,motorcycle,Rome
4889,car,Milan
8596,car,Rome
7426,car,London
8301,motorcycle,Madrid
1015,car,Milan
6872,car,Rome
7953,car,Rome
6961,car,Milan
328,car,London
3652,car,Rome
389,car,London
8316,car,Milan
3646,car,London
3153,car,London
5324,car,Milan
2972,car,London
7138,car,Milan
2562,van,London
3544,car,Milan
5771,car,London
3807,car,Rome
1543,car,Madrid
7382,car,Rome
8297,motorcycle,Madrid
7307,car,Milan
5960,car,Rome
3725,car,London
8194,car,Rome
3978,car,Milan
1405,motorcycle,Rome
6553,car,Rome
5563,car,Madrid
2306,car,Madrid
3711,car,Milan
1134,car,Madrid
3875,motorcycle,Milan
3417,car,Milan
2705,van,Rome
3654,van,Madrid
5610,car,Madrid
2521,car,Milan
3140,car,Rome
2921,car,Milan
5340,motorcycle,Rome
6842,car,Milan
7499,car,Rome
968,car,Milan
4571,car,Milan
7771,car,Milan
7033,car,Milan
3392,car,Rome
6597,motorcycle,Milan
8274,motorcycle,London
1254,car,Milan
7680,car,Rome
259,car,London
6916,car,Milan
2579,car,Rome
2887,car,Milan
7746,car,Milan
655,car,Rome
7525,motorcycle,Milan
5655,car,London
8641,car,London
821,motorcycle,Madrid
7693,car,Milan
6449,car,Madrid
326,car,Milan
5659,car,Madrid
2889,car,Madrid
7831,car,London
4992,car,Milan
1118,car,Milan
4901,motorcycle,Milan
5570,motorcycle,Rome
757,car,Rome
312,motorcycle,Milan
4284,van,Rome
6880,car,Milan
5495,car,Rome
4087,car,London
6941,car,Rome
2571,car,Milan
1409,car,Rome
3574,car,London
8288,car,Madrid
3157,car,Madrid
6809,motorcycle,Milan
2753,car,Milan
7216,car,Milan
3849,car,Milan
5581,car,Madrid
7884,car,London
466,car,London
7805,car,Milan
6766,car,Milan
570,car,Milan
2100,car,Milan
2292,car,Milan
670,car,Madrid
5785,car,Rome
8431,van,Rome
6501,car,Milan
2929,motorcycle,Milan
7977,motorcycle,London
1716,motorcycle,Rome
5023,car,London
5601,motorcycle,Milan
7870,car,Rome
7132,car,London
2569,car,Milan
5161,car,Milan
703,car,London
1185,car,Rome
2646,motorcycle,Rome
357,car,Milan
8386,car,Madrid
6507,motorcycle,Milan
4347,car,Rome
1211,car,Milan
6926,car,Rome
3496,car,Rome
5558,car,Rome
2232,car,Milan
7822,car,Milan
295,van,Rome
3355,motorcycle,London
3935,motorcycle,Milan
5546,car,Milan
4215,car,Milan
3456,car,Rome
3885,car,London
6145,car,Milan
2686,car,Madrid
560,car,Milan
7802,car,London
4395,car,Madrid
1124,car,Rome
8587,car,Milan
2022,car,Rome
6742,car,Milan
8168,car,London
7370,car,London
2729,car,Rome
5194,car,Rome
242,car,Milan
5893,car,Rome
3166,car,London
6093,car,Milan
2915,car,Milan
6803,car,Milan
148,car,Rome
4444,car,Milan
6076,car,Milan
6641,car,Rome
1090,car,London
4270,car,Rome
8201,car,Milan
10,car,Rome
4695,car,Rome
1217,car,Rome
3748,van,Milan
5002,car,Rome
5551,car,Rome
2947,car,Rome
6193,car,Milan
1938,car,London
5790,car,Rome
6231,car,Milan
3923,car,Milan
3403,car,Madrid
8668,car,Milan
1857,car,Rome
6798,car,Milan
8025,car,Milan
5209,car,Milan
7625,motorcycle,Milan
1463,car,Milan
4688,car,Milan
3980,car,Madrid
4934,car,Rome
6367,car,Rome
6883,car,Madrid
575,motorcycle,Milan
3022,car,Milan
7872,motorcycle,Milan
6918,motorcycle,Rome
2490,car,Rome
1133,car,London
2598,car,Milan
5559,car,Milan
217,car,Milan
6207,car,Milan
5882,car,Milan
7500,car,Milan
4339,car,Rome
109,car,Rome
4531,car,Milan
2700,car,Milan
4809,car,Milan
3698,car,London
5262,car,Milan
3552,car,Rome
7167,car,Rome
826,car,Rome
3764,car,Rome
2407,motorcycle,Milan
1846,car,Milan
3959,motorcycle,Milan
7484,car,London
5663,motorcycle,Milan
8536,car,Milan
805,car,London
181,motorcycle,Milan
3679,motorcycle,Milan
5260,car,Rome
6890,motorcycle,Milan
5769,car,Milan
2045,motorcycle,Milan
6044,car,London
6646,car,Milan
8558,motorcycle,Milan
6397,car,Rome
4597,car,Milan
203,car,Rome
3665,car,Milan
8022,motorcycle,Milan
4141,car,Rome
5799,car,Rome
7346,car,Milan
6830,car,Rome
6172,car,Rome
4465,car,Milan
7659,motorcycle,Madrid
3815,car,Rome
