id,quote_id,product_type,premium,taxes
13335,6710,legal,25.0,1.71
21443,2784,breakdown,16.89,4.54
18240,2712,full,604.66,126.67
16904,1269,legal,25.0,1.71
27078,130,full,271.58,56.89
5868,185,legal,25.0,1.71
8614,9458,breakdown,16.89,4.54
19831,7110,legal,25.0,1.71
16073,4475,breakdown,22.9,5.09
15656,8582,legal,25.0,1.71
23037,290,breakdown,16.89,4.54
5269,6875,full,198.7,41.62
24255,2640,full,155.2,32.51
8092,6547,full,208.09,43.59
25629,6149,breakdown,22.9,5.09
10988,5398,breakdown,16.89,4.54
3085,272,legal,25.0,1.71
23492,3282,legal,25.0,1.71
16080,5637,full,348.62,73.03
8452,1229,breakdown,16.89,4.54
11044,4949,breakdown,22.9,5.09
25598,1740,full,401.89,84.19
12073,8948,breakdown,16.89,4.54
2098,3683,legal,37.5,2.02
24871,9849,breakdown,16.89,4.54
143,1767,breakdown,16.89,4.54
5341,2715,breakdown,16.89,4.54
6808,5455,full,272.08,57.0
4401,1869,legal,37.5,2.02
28210,9480,legal,25.0,1.71
12820,5373,full,489.98,102.65
7631,2937,breakdown,16.89,4.54
4875,3871,legal,46.13,1.71
2913,2361,legal,25.0,1.71
21628,355,legal,25.0,1.71
7297,7413,full,230.72,48.33
14346,803,legal,25.0,1.71
17053,1559,breakdown,16.89,4.54
27765,5838,legal,37.5,2.02
16049,8952,full,449.14,94.09
10977,3968,breakdown,16.89,4.54
2759,627,full,242.27,50.75
12346,6154,full,216.09,45.27
15371,860,legal,25.0,1.71
12376,7790,full,241.2,50.53
3508,610,legal,25.0,1.71
1128,5389,breakdown,16.89,4.54
27940,6853,full,449.53,94.17
24110,4050,legal,69.23,2.27
13817,3478,full,324.76,68.04
2817,4934,breakdown,16.89,4.54
18522,1538,breakdown,16.89,4.54
4334,9567,breakdown,16.89,4.54
35,4712,breakdown,16.89,4.54
16153,366,full,405.59,84.97
11383,3111,full,224.75,47.08
15860,8803,full,221.23,46.35
17175,4099,legal,25.0,1.71
15416,3895,full,500.18,104.78
25694,2167,full,366.89,76.86
20175,615,legal,25.0,1.71
26424,9316,full,411.19,86.14
25098,2663,breakdown,16.89,4.54
11453,2570,full,443.06,92.82
28842,5811,legal,,2.27
11749,9735,legal,69.23,2.27
27555,434,legal,25.0,1.71
9853,2681,breakdown,22.9,5.09
29397,404,legal,25.0,1.71
621,926,legal,25.0,1.71
1935,6088,legal,69.23,2.27
14105,4529,breakdown,16.89,4.54
2151,8604,full,172.87,36.22
9541,1714,full,225.0,47.14
2241,4757,legal,25.0,1.71
14694,7377,breakdown,16.89,4.54
24610,6676,legal,37.5,2.02
12700,8788,legal,25.0,1.71
13723,5307,full,575.04,120.46
20513,3296,full,184.48,38.65
23438,4252,legal,25.0,1.71
27628,2562,full,322.42,67.55
29493,3420,breakdown,16.89,4.54
7497,3750,legal,46.13,1.71
20805,2900,legal,37.5,2.02
9694,5377,full,189.75,39.75
3988,8568,legal,25.0,1.71
4820,4951,breakdown,16.89,4.54
2624,8259,legal,25.0,1.71
4703,7484,legal,37.5,2.02
24280,6029,legal,25.0,1.71
27184,1540,full,318.74,66.77
18962,9963,breakdown,16.89,4.54
1868,5522,breakdown,32.4,6.5
7949,7959,legal,25.0,1.71
17436,9084,full,298.25,62.49
19467,6780,breakdown,16.89,4.54
25533,302,breakdown,16.89,4.54
3613,9856,legal,30.0,1.71
17052,6645,breakdown,16.89,4.54
20909,3305,legal,37.5,2.02
16874,4415,breakdown,22.9,5.09
29931,570,legal,25.0,1.71
19055,8995,full,182.77,38.29
28872,2910,full,167.08,35.0
20907,8412,full,332.55,69.66
22629,101,legal,25.0,1.71
7796,9058,breakdown,16.89,4.54
19661,6455,breakdown,16.89,4.54
12261,4318,breakdown,16.89,4.54
25272,1285,legal,37.5,2.02
15764,9623,breakdown,16.89,4.54
12566,8743,legal,25.0,1.71
21135,865,breakdown,16.89,4.54
13945,4018,full,481.02,100.77
23217,2910,breakdown,16.89,4.54
29877,4686,legal,25.0,1.71
19360,9244,legal,37.5,2.02
2018,8202,breakdown,16.89,4.54
1211,9312,full,243.81,51.07
24085,7958,full,466.07,97.64
5165,1309,full,366.99,76.88
8241,263,legal,25.0,1.71
4731,9545,legal,25.0,1.71
25806,3407,full,367.65,77.02
11563,1157,breakdown,16.89,4.54
4711,7428,legal,46.13,1.71
25281,7658,breakdown,16.89,4.54
19668,3787,legal,25.0,1.71
17511,3116,full,310.72,65.09
11746,6702,legal,25.0,1.71
20292,5569,legal,25.0,1.71
23352,7833,legal,25.0,1.71
29679,7279,legal,37.5,2.02
23200,6619,legal,25.0,1.71
25335,8303,legal,25.0,1.71
12780,6765,breakdown,22.9,5.09
14264,4716,breakdown,16.89,4.54
6660,3010,breakdown,16.89,4.54
11218,2891,legal,25.0,1.71
10369,8421,breakdown,22.9,5.09
17728,3722,full,311.13,65.18
11184,6609,breakdown,16.89,4.54
18459,7785,full,538.72,112.86
12648,2579,breakdown,16.89,4.54
7248,1202,full,455.08,95.33
9647,6521,legal,25.0,1.71
26739,5631,breakdown,16.89,4.54
17544,6217,legal,25.0,1.71
24470,4916,breakdown,16.89,4.54
21633,1640,breakdown,16.89,4.54
12928,4612,breakdown,16.89,4.54
5640,4695,full,292.74,61.33
8372,122,legal,25.0,1.71
6085,6923,full,227.45,47.65
1627,5407,legal,37.5,2.02
7534,7995,breakdown,22.9,5.09
27907,8790,full,,48.46
8674,4771,full,165.95,34.76
9880,7701,breakdown,22.9,5.09
24459,8189,legal,25.0,1.71
7270,2483,legal,25.0,1.71
20789,5014,legal,37.5,2.02
3290,1226,legal,46.13,1.71
6630,3561,legal,25.0,1.71
20887,6251,full,325.97,68.29
29267,2163,full,310.14,64.97
25342,2820,legal,25.0,1.71
16829,1817,full,394.45,82.63
17881,7957,breakdown,16.89,4.54
8461,1381,full,113.85,23.85
3045,8151,breakdown,16.89,4.54
9964,7122,breakdown,16.89,4.54
15313,1038,breakdown,16.89,4.54
10168,4405,full,265.83,55.69
3219,3893,breakdown,16.89,4.54
5807,4846,full,434.4,91.0
23361,2797,full,172.87,36.22
18760,5995,breakdown,16.89,4.54
17755,7323,breakdown,16.89,4.54
19699,1228,full,172.87,36.22
1390,275,breakdown,16.89,4.54
16287,4827,full,184.67,38.69
27855,925,full,290.15,60.78
5948,134,full,263.01,55.1
4044,1889,full,477.7,100.07
25385,3306,full,909.57,190.54
21233,9725,full,423.39,88.69
6416,5948,breakdown,16.89,4.54
17050,8208,legal,37.5,2.02
28718,2503,full,606.03,126.95
1693,5120,breakdown,16.89,4.54
28090,3917,legal,37.5,2.02
16845,5489,full,150.32,31.49
25656,2804,full,283.61,59.41
26231,1105,full,224.02,46.93
18233,6332,breakdown,22.9,5.09
804,2504,full,426.95,89.44
6691,1401,breakdown,16.89,4.54
2337,8892,breakdown,16.89,4.54
15297,4705,legal,25.0,1.71
24658,5606,legal,25.0,1.71
24513,3707,legal,25.0,1.71
11654,2965,legal,69.23,2.27
10735,3468,legal,25.0,1.71
26359,7454,breakdown,22.9,5.09
3428,4564,legal,25.0,1.71
20459,1993,breakdown,16.89,4.54
17842,3491,breakdown,22.9,5.09
5972,4184,breakdown,16.89,4.54
26504,2911,legal,25.0,1.71
3982,5890,full,152.63,31.98
12276,6670,legal,25.0,1.71
25976,6832,full,181.34,37.99
27836,5503,legal,25.0,1.71
8607,1747,breakdown,16.89,4.54
317,5427,full,357.93,74.98
3231,9529,breakdown,16.89,4.54
15547,922,breakdown,16.89,4.54
18616,1411,full,285.78,59.87
28054,9328,legal,37.5,2.02
13578,1831,legal,46.13,1.71
20800,5193,full,459.03,96.16
11163,2265,breakdown,16.89,4.54
11091,1152,legal,46.13,1.71
3959,5145,full,152.63,31.98
25856,1066,legal,37.5,2.02
8906,5379,full,152.23,31.89
492,5484,full,693.61,145.3
25390,5901,legal,25.0,1.71
5907,6315,legal,25.0,1.71
98,351,breakdown,16.89,4.54
12659,1157,legal,25.0,1.71
29715,8131,full,455.97,95.52
408,944,full,128.06,26.83
25687,1564,breakdown,16.89,4.54
16141,4391,breakdown,16.89,4.54
7468,8837,full,519.25,108.78
7460,6467,breakdown,16.89,4.54
12841,2660,full,225.87,47.32
685,1820,full,121.95,25.55
24469,2196,breakdown,22.9,5.09
28099,3967,breakdown,16.89,4.54
8132,610,full,180.24,37.75
11752,4177,full,429.69,90.02
16520,3469,breakdown,16.89,4.54
1466,5041,legal,25.0,1.71
4594,483,full,182.81,38.3
20230,6172,full,113.93,23.87
10057,541,full,152.23,31.89
12924,4082,breakdown,16.89,4.54
14552,4139,legal,25.0,1.71
24062,7534,full,152.23,31.89
11762,2925,breakdown,16.89,4.54
25881,5973,full,101.2,21.2
1328,5212,breakdown,16.89,4.54
1151,1172,breakdown,16.89,4.54
23756,2469,breakdown,16.89,4.54
15980,1953,breakdown,25.9,5.91
28681,3173,legal,25.0,1.71
24504,8342,full,704.43,147.57
676,8202,full,1089.14,228.16
10261,5353,breakdown,16.89,4.54
19243,3078,breakdown,16.89,4.54
17081,1338,breakdown,16.89,4.54
23195,5840,breakdown,22.9,5.09
16920,9302,full,430.5,90.18
6839,3749,full,424.95,89.02
8626,3725,legal,69.23,2.27
12815,8617,full,444.56,93.13
14484,9589,legal,25.0,1.71
12227,5250,legal,25.0,1.71
28320,6527,breakdown,16.89,4.54
12883,9504,breakdown,16.89,4.54
6711,67,legal,46.13,1.71
9714,4728,legal,25.0,1.71
20148,4939,breakdown,22.9,5.09
29626,105,legal,25.0,1.71
13013,4908,full,272.4,57.06
27238,915,breakdown,16.89,4.54
14991,7437,breakdown,16.89,4.54
24816,4028,full,124.1,26.0
14447,4606,legal,37.5,2.02
17006,2332,full,228.91,47.95
16760,1307,legal,25.0,1.71
26299,7700,breakdown,16.89,4.54
8130,1631,breakdown,16.89,4.54
1684,7229,legal,25.0,1.71
6322,7782,full,373.74,78.29
14880,2860,legal,46.13,1.71
7984,3014,full,285.52,59.81
17903,6539,full,317.04,66.42
22528,3841,breakdown,32.4,6.5
4062,6046,legal,25.0,1.71
27536,4397,full,483.58,101.3
22774,5783,breakdown,22.9,5.09
20334,2705,legal,25.0,1.71
16017,5179,full,188.73,39.54
706,4756,full,230.21,48.23
9380,3309,full,348.03,72.91
4219,6139,full,236.77,49.6
1282,525,full,262.5,54.99
29920,843,breakdown,16.89,4.54
24812,1904,breakdown,16.89,4.54
8274,9298,full,629.84,131.94
6093,4591,full,198.05,41.49
12748,1541,full,173.65,36.38
4939,71,legal,25.0,1.71
10640,1328,breakdown,16.89,4.54
14664,2231,full,321.09,67.26
24849,7741,breakdown,16.89,4.54
4222,516,legal,25.0,1.71
4752,2453,full,409.25,85.73
23229,2433,breakdown,16.89,4.54
3119,7303,full,120.59,25.26
17359,4484,full,352.85,73.92
14367,5826,breakdown,16.89,4.54
5346,1095,legal,25.0,1.71
10522,521,full,166.55,34.89
17566,3387,legal,46.13,1.71
11109,8066,full,389.47,81.59
7346,6768,legal,25.0,1.71
18753,3188,breakdown,22.9,5.09
10084,5996,legal,92.32,2.83
14679,9595,legal,92.32,2.83
18820,9403,full,172.87,36.22
1304,5295,legal,37.5,2.02
8276,991,breakdown,22.9,5.09
445,7143,legal,69.23,2.27
9373,1849,legal,37.5,2.02
25798,9248,full,196.41,41.14
20686,7189,breakdown,16.89,4.54
15260,5596,full,224.43,47.02
7035,4443,full,576.06,120.68
64,7339,legal,25.0,1.71
16313,344,full,900.64,188.67
3306,5993,legal,25.0,1.71
11464,3421,breakdown,16.89,4.54
19132,7344,full,370.97,77.71
12126,6135,legal,25.0,1.71
13233,1238,breakdown,25.9,5.91
19504,2917,breakdown,22.9,5.09
26687,5758,breakdown,25.9,5.91
28489,9121,legal,25.0,1.71
20507,652,legal,25.0,1.71
6821,2156,legal,25.0,1.71
24007,6567,breakdown,16.89,4.54
3340,3480,full,276.81,57.99
15719,394,legal,25.0,1.71
4405,4001,full,178.42,37.38
8786,3824,breakdown,16.89,4.54
20177,6485,breakdown,16.89,4.54
7180,7510,breakdown,22.9,5.09
12089,4239,full,399.8,83.75
4064,8738,legal,25.0,1.71
22802,8323,breakdown,16.89,4.54
22179,8944,legal,37.5,2.02
19790,6745,full,454.05,95.12
19833,7723,full,289.35,60.62
736,8728,legal,37.5,2.02
21810,7831,full,203.24,42.58
7202,6395,full,152.23,31.89
20306,8334,full,152.23,31.89
28262,8283,legal,25.0,1.71
9574,825,legal,25.0,1.71
27927,8733,breakdown,16.89,4.54
12750,157,breakdown,16.89,4.54
14025,8140,breakdown,22.9,5.09
4458,8978,breakdown,22.9,5.09
25750,5643,breakdown,16.89,4.54
24160,2633,legal,25.0,1.71
17484,897,breakdown,16.89,4.54
1902,9647,legal,25.0,1.71
29788,7398,full,383.87,80.42
22183,1468,legal,25.0,1.71
9431,1750,breakdown,16.89,4.54
17575,3255,legal,25.0,1.71
6615,222,legal,25.0,1.71
21177,6562,legal,37.5,2.02
6309,2966,legal,46.13,1.71
24898,7612,legal,37.5,2.02
23154,6629,legal,25.0,1.71
22362,6082,full,512.59,107.38
7617,4029,breakdown,16.89,4.54
10970,2558,full,362.97,76.04
2198,1610,legal,37.5,2.02
28497,4841,full,453.73,95.05
14099,9359,full,625.95,131.13
13344,5837,full,440.92,92.37
8336,3528,legal,37.5,2.02
11758,167,legal,25.0,1.71
25971,3262,breakdown,16.89,4.54
1602,8911,breakdown,16.89,4.54
19001,2642,breakdown,22.9,5.09
15410,3708,full,238.75,50.02
23367,8413,full,139.15,29.15
18722,4322,full,889.56,186.35
18990,9163,legal,25.0,1.71
15718,4179,breakdown,16.89,4.54
465,72,legal,25.0,1.71
28091,5654,breakdown,16.89,4.54
10521,4411,full,384.37,80.52
23409,2401,legal,25.0,1.71
29124,5728,full,463.66,97.14
13124,844,full,523.21,109.61
29904,7830,breakdown,22.9,5.09
20086,1239,full,148.27,31.06
7214,5266,breakdown,16.89,4.54
10679,6000,full,196.91,41.25
18260,2168,full,236.33,49.51
17697,4692,full,237.14,49.68
11900,6602,full,448.03,93.86
10216,939,legal,37.5,2.02
8987,4596,legal,46.13,1.71
9746,267,legal,25.0,1.71
14771,9325,full,169.37,35.48
11725,1094,full,174.66,36.59
11509,3092,legal,25.0,1.71
7151,1168,full,223.59,46.84
17547,2032,full,259.1,54.28
13262,3619,legal,25.0,1.71
754,9535,full,255.69,53.56
18381,5859,full,747.11,156.51
7158,4450,breakdown,16.89,4.54
12348,6549,legal,25.0,1.71
23867,4001,legal,37.5,2.02
11245,439,legal,25.0,1.71
4212,83,breakdown,16.89,4.54
28046,7237,full,172.87,36.22
16335,2104,full,190.09,39.82
276,7613,breakdown,22.9,5.09
25785,7419,legal,37.5,2.02
4421,9062,legal,37.5,2.02
13505,9254,breakdown,16.89,4.54
26643,9737,full,206.49,43.26
16336,125,full,283.51,59.39
15449,2339,breakdown,16.89,4.54
23768,6767,legal,37.5,2.02
2780,4983,breakdown,16.89,4.54
16764,1137,legal,46.13,1.71
3356,2126,breakdown,16.89,4.54
16057,846,breakdown,22.9,5.09
19166,389,full,1351.02,283.02
12049,3525,breakdown,16.89,4.54
18683,3034,full,298.01,62.43
22863,2616,breakdown,16.89,4.54
12288,7472,full,316.75,66.35
2063,8799,full,326.85,68.47
5499,5055,legal,25.0,1.71
3271,8295,legal,46.13,1.71
1944,3982,full,266.4,55.81
10539,5690,full,342.48,71.75
1232,3770,legal,25.0,1.71
26845,7251,legal,37.5,2.02
28996,5049,legal,25.0,1.71
22671,9718,breakdown,16.89,4.54
18201,3129,legal,37.5,2.02
15769,3413,breakdown,16.89,4.54
3563,3430,breakdown,16.89,4.54
26049,6274,breakdown,16.89,4.54
28507,3005,full,400.39,83.87
5921,57,breakdown,16.89,4.54
22852,2403,breakdown,16.89,4.54
4199,8770,legal,25.0,1.71
5819,376,full,317.37,66.48
29170,7786,full,321.55,67.36
28042,8566,breakdown,22.9,5.09
195,2228,legal,46.13,1.71
2136,1661,breakdown,22.9,5.09
19983,3385,legal,25.0,1.71
19352,2412,legal,37.5,2.02
20351,2878,breakdown,22.9,5.09
1116,5394,breakdown,16.89,4.54
23274,5627,full,317.14,66.43
10710,2187,breakdown,16.89,4.54
27271,7604,breakdown,16.89,4.54
18305,3633,legal,25.0,1.71
346,4985,legal,37.5,2.02
16691,7792,full,254.08,53.23
17503,2538,full,585.1,122.57
15954,2680,breakdown,16.89,4.54
1080,6366,full,254.61,53.34
6045,7497,full,250.47,52.47
2638,4249,full,370.32,77.58
24359,7649,legal,37.5,2.02
1828,3975,full,192.14,40.25
24,5777,breakdown,22.9,5.09
1292,345,breakdown,22.9,5.09
18669,1922,full,286.76,60.07
23033,8212,full,392.75,82.28
27820,5143,full,1005.52,210.64
5481,9078,legal,25.0,1.71
16103,1179,breakdown,16.89,4.54
17132,5603,legal,25.0,1.71
16397,1375,breakdown,16.89,4.54
13754,6560,full,397.73,83.32
15645,2927,legal,25.0,1.71
29311,9415,legal,25.0,1.71
14076,1559,full,498.1,104.35
18677,7453,legal,25.0,1.71
29499,494,breakdown,22.9,5.09
24136,8452,legal,37.5,2.02
13599,4452,breakdown,16.89,4.54
5756,2460,full,152.23,31.89
22576,4532,full,530.22,111.07
10908,7646,legal,69.23,2.27
14885,9127,breakdown,16.89,4.54
544,3685,full,329.94,69.12
10588,2326,full,731.1,153.15
4828,7337,legal,25.0,1.71
11525,5770,full,227.52,47.67
12985,5457,legal,25.0,1.71
27608,1417,legal,69.23,2.27
28849,3532,full,320.46,67.13
26997,3822,breakdown,16.89,4.54
27557,637,full,887.96,186.02
23603,6581,full,336.06,70.4
27668,5646,full,171.53,35.93
11276,5226,legal,25.0,1.71
16431,6598,full,172.87,36.22
14996,9863,full,378.21,79.23
17040,1691,full,403.85,84.6
8812,2430,legal,30.0,1.71
23420,5321,breakdown,16.89,4.54
14941,5187,legal,46.13,1.71
29032,4317,breakdown,22.9,5.09
6321,2796,full,303.86,63.65
15479,6571,legal,25.0,1.71
25348,5827,full,402.42,84.31
22380,8876,full,268.05,56.15
5421,4559,breakdown,22.9,5.09
10067,1299,breakdown,16.89,4.54
27421,6989,full,292.0,61.17
9363,7361,legal,37.5,2.02
7997,8208,full,249.2,52.21
19535,7706,legal,25.0,1.71
17785,6881,full,198.7,41.63
1158,7960,legal,25.0,1.71
23479,5623,legal,30.0,1.71
4038,1701,legal,46.13,1.71
2966,8189,full,320.84,67.21
675,120,legal,25.0,1.71
5624,2533,breakdown,16.89,4.54
18746,3217,full,169.37,35.48
25290,7823,breakdown,16.89,4.54
19984,7938,full,757.91,158.77
8128,3113,full,352.38,73.82
19566,9746,legal,25.0,1.71
24341,5082,full,350.17,73.36
28259,9025,legal,25.0,1.71
13610,9977,breakdown,16.89,4.54
19997,687,legal,25.0,1.71
23645,9723,full,505.19,105.83
2452,3732,breakdown,16.89,4.54
6244,6686,breakdown,16.89,4.54
7680,8859,breakdown,16.89,4.54
7916,3671,breakdown,16.89,4.54
1566,6834,breakdown,25.9,5.91
28441,7903,legal,37.5,2.02
19730,7812,full,396.8,83.12
28602,8500,breakdown,16.89,4.54
15565,4594,legal,25.0,1.71
22921,9388,legal,25.0,1.71
29277,5387,legal,25.0,1.71
18765,2910,legal,46.13,1.71
11504,1043,legal,25.0,1.71
16666,3699,full,275.54,57.72
26611,962,breakdown,22.9,5.09
14692,7349,full,468.15,98.07
21283,1558,legal,25.0,1.71
27289,2450,breakdown,22.9,5.09
21056,5344,full,774.25,162.2
16456,3465,full,209.99,43.99
23482,4076,full,272.45,57.07
13832,2763,full,461.47,96.67
20877,3039,full,214.43,44.92
22388,9125,breakdown,16.89,4.54
1754,1869,breakdown,22.9,5.09
20048,2258,breakdown,22.9,5.09
25626,9157,full,188.42,39.47
25880,6241,breakdown,16.89,4.54
28118,3034,breakdown,16.89,4.54
6553,9381,breakdown,16.89,4.54
11568,7780,breakdown,16.89,4.54
26315,8385,legal,25.0,1.71
1874,7120,legal,37.5,2.02
23618,9463,legal,25.0,1.71
16243,368,legal,25.0,1.71
16175,9510,breakdown,16.89,4.54
12637,5357,breakdown,16.89,4.54
5494,9186,breakdown,16.89,4.54
29455,7966,breakdown,16.89,4.54
15463,4296,legal,25.0,1.71
17587,1540,legal,25.0,1.71
24308,199,legal,25.0,1.71
2218,5445,breakdown,16.89,4.54
1648,7630,breakdown,16.89,4.54
7523,1709,legal,25.0,1.71
13896,9520,breakdown,16.89,4.54
27188,3361,full,170.78,35.78
22677,2276,breakdown,16.89,4.54
28133,3579,full,352.41,73.82
10485,7039,full,235.79,49.39
11968,3203,full,153.85,32.23
1335,9339,breakdown,16.89,4.54
20530,1525,breakdown,16.89,4.54
14528,3425,breakdown,16.89,4.54
107,4119,full,215.28,45.1
8356,9345,legal,25.0,1.71
28930,1104,legal,37.5,2.02
15851,9821,breakdown,16.89,4.54
6997,5222,breakdown,22.9,5.09
6847,275,legal,25.0,1.71
1422,4219,full,498.44,104.41
7832,3152,breakdown,22.9,5.09
28281,6019,full,152.23,31.89
17106,9666,full,152.23,31.89
7817,4454,breakdown,16.89,4.54
10637,6865,full,466.72,97.77
2729,1390,breakdown,16.89,4.54
13924,8,legal,25.0,1.71
19076,9391,full,265.82,55.68
16442,5711,breakdown,16.89,4.54
9049,4917,legal,46.13,1.71
6221,6679,legal,25.0,1.71
5199,1442,legal,25.0,1.71
5240,1678,breakdown,16.89,4.54
12118,340,breakdown,16.89,4.54
21821,1408,legal,30.0,1.71
19549,5648,full,171.53,35.93
4425,1047,breakdown,16.89,4.54
21013,9361,breakdown,16.89,4.54
21679,5740,full,863.27,180.84
846,476,breakdown,16.89,4.54
10058,4725,legal,25.0,1.71
20786,6725,breakdown,16.89,4.54
15129,6275,full,520.9,109.12
23174,4505,breakdown,32.4,6.5
876,1213,breakdown,16.89,4.54
26390,6970,legal,25.0,1.71
12166,3127,full,279.91,58.63
5446,3461,legal,46.13,1.71
26736,324,full,189.21,39.64
9218,2198,breakdown,16.89,4.54
23990,1861,legal,37.5,2.02
21853,4023,full,306.57,64.23
12437,9952,full,498.8,104.49
15383,3239,full,480.7,100.7
18931,173,full,659.53,138.16
20844,6016,legal,25.0,1.71
1316,4439,breakdown,16.89,4.54
3766,674,breakdown,16.89,4.54
20031,9617,breakdown,22.9,5.09
11730,4270,breakdown,16.89,4.54
18429,3432,full,942.12,197.36
5793,348,breakdown,22.9,5.09
12954,2171,legal,25.0,1.71
5642,6187,breakdown,16.89,4.54
10285,7050,full,101.46,21.25
11155,6204,full,198.42,41.57
19427,1500,legal,25.0,1.71
21024,4981,legal,25.0,1.71
7084,3267,legal,25.0,1.71
12243,2234,breakdown,16.89,4.54
3020,1356,full,101.2,21.2
4003,5343,breakdown,16.89,4.54
21019,5773,legal,37.5,2.02
4023,2859,full,303.84,63.65
7062,6969,legal,25.0,1.71
20025,2866,legal,25.0,1.71
7855,6316,legal,25.0,1.71
7373,200,full,729.35,152.79
21600,3584,legal,25.0,1.71
4387,1424,breakdown,16.89,4.54
25198,8747,legal,37.5,2.02
7255,2613,legal,25.0,1.71
29713,1121,full,399.68,83.72
5524,6565,legal,25.0,1.71
5626,8598,full,246.76,51.69
15796,9780,full,385.31,80.72
28197,7711,full,550.92,115.41
29515,1520,legal,25.0,1.71
10039,8222,full,216.53,45.36
24797,2572,breakdown,16.89,4.54
15841,7998,breakdown,16.89,4.54
28490,9394,full,250.35,52.45
21408,227,full,503.95,105.57
14985,9237,legal,37.5,2.02
7216,3333,breakdown,16.89,4.54
9352,3825,breakdown,16.89,4.54
10881,1367,legal,25.0,1.71
5033,4448,breakdown,22.9,5.09
23127,4721,full,255.07,53.43
21596,9413,breakdown,16.89,4.54
9042,4213,legal,25.0,1.71
19447,6302,legal,25.0,1.71
22062,5284,full,362.34,75.91
21395,928,legal,25.0,1.71
29448,1211,legal,46.13,1.71
25959,4209,full,430.82,90.25
15892,271,full,422.27,88.46
25377,987,legal,25.0,1.71
22505,2341,legal,25.0,1.71
13327,8805,legal,25.0,1.71
23326,9617,legal,37.5,2.02
12635,7209,legal,25.0,1.71
3503,7860,breakdown,16.89,4.54
11526,3221,breakdown,16.89,4.54
26628,8326,full,318.43,66.71
4673,4654,legal,25.0,1.71
24519,4165,legal,46.13,1.71
25933,876,full,198.41,41.57
24264,3082,legal,25.0,1.71
23875,8902,legal,37.5,2.02
17931,1400,full,457.06,95.75
23866,5938,full,462.86,96.96
14690,7586,full,358.8,75.16
21961,3225,full,315.63,66.12
21130,8537,legal,25.0,1.71
29555,4507,full,101.2,21.2
14986,9716,legal,25.0,1.71
11560,4924,breakdown,22.9,5.09
24422,2490,legal,25.0,1.71
14946,9948,breakdown,16.89,4.54
6008,3265,full,239.6,50.19
150,9144,legal,25.0,1.71
